نام_بیماری,دسته_بندی,علائم_برای_هوش_مصنوعی,درمان,توضیحات_تکمیلی
لوک آمریکایی (American Foulbrood),باکتریایی,بوی بد شبیه سریش یا ماهی گندیده، فرورفتگی سرپوش حجره‌ها، سوراخ شدن سرپوش‌ها، وقتی چوب کبریت داخل لارو می‌کنیم مثل نخ کش می‌آید (تست کشسانی)، لارو قهوه‌ای رنگ و لزج می‌شود.,سوزاندن کامل کندو و قاب‌های آلوده (تنها راه قطعی)، استفاده از آنتی‌بیوتیک‌هایی مثل اکسی‌تتراسایکلین (فقط برای پیشگیری در کندوهای سالم مجاور، نه درمان قطعی).,این خطرناک‌ترین بیماری نوزادان است و عامل آن باکتری پنی‌باسیلوس لاروه است.
لوک اروپایی (European Foulbrood),باکتریایی,لاروها در ته حجره پیچ می‌خورند (حالت C شکل ندارند)، رنگ لارو زرد یا قهوه‌ای می‌شود، بوی ترشیدگی یا سرکه می‌دهد، آزمایش کشسانی منفی است (کش نمی‌آید).,تعویض ملکه با نژاد مقاوم، تقویت کلنی با شربت و کیک گرده، در موارد حاد استفاده از اکسی‌تتراسایکلین یا ترامایسین.,بیشتر در اوایل بهار و در کلنی‌های ضعیف دیده می‌شود.
نوزما (Nosema),قارچی/انگل داخلی,اسهال زنبورها (لکه های زرد و قهوه‌ای روی قاب‌ها و دریچه پرواز)، شکم بادکرده و متورم، زنبورها نمی‌توانند پرواز کنند و روی زمین می‌خزند، کاهش جمعیت ناگهانی.,استفاده از داروی فوماژیلین (Fumagillin) طبق دستور، استفاده از سرکه سیب در شربت (پیشگیری)، تعویض قاب‌های سیاه و آلوده.,نوزما آپیس و نوزما سرانا دو نوع اصلی هستند. رطوبت بالا عامل اصلی تشدید است.
کنه واروا (Varroa Mite),انگل خارجی,دیدن کنه‌های قرمز/قهوه‌ای کوچک روی بدن زنبورها، زنبورهای بدون بال یا با بال‌های دفرمه (ناقص) متولد می‌شوند، سوراخ بودن سرپوش سلول‌ها، کاهش وزن زنبورها.,استفاده از نوارهای آپیستان یا بایوارول، اسید اگزالیک (تزریق یا بخار)، اسید فرمیک، ژل تیمول. (توجه: درمان باید در زمان نبودن عسل انجام شود).,شایع‌ترین آفت زنبورداری است که ناقل ویروس‌های دیگر هم می‌باشد.
بیماری لارو گچی (Chalkbrood),قارچی,لاروها خشک و سفت می‌شوند شبیه تکه گچ، اجساد سفید یا سیاه (مومیایی) در جلوی دریچه پرواز یا کف کندو دیده می‌شود، صدای تکان دادن قاب شبیه جغجغه می‌شود.,تهویه مناسب کندو (رطوبت عامل اصلی است)، تعویض ملکه، انتقال کندو به محل خشک و آفتاب‌گیر، حذف قاب‌های خیلی آلوده.,عامل آن قارچ آسکوفر است و معمولاً در بهار مرطوب رخ می‌دهد.
کنه تراشه‌ای (Tracheal Mite),انگل داخلی,زنبورها گروهی جلوی کندو گیج می‌خورند، بال‌ها حالت نامتقارن (K شکل) پیدا می‌کنند، ناتوانی در پرواز، شکم بادکرده.,استفاده از منتول، اسید فرمیک، روغن‌های گیاهی و تیمول.,این کنه داخل لوله‌های تنفسی زنبور زندگی می‌کند.
پروانه موم‌خوار (Wax Moth),آفت,وجود تارهای عنکبوت مانند روی شان‌ها، تونل‌های زده شده داخل موم، دیدن لاروهای کرم‌مانند سفید که سریع حرکت می‌کنند، تخریب کامل شان‌های سیاه.,ذخیره قاب‌ها در دمای زیر صفر یا هوای خیلی سرد، استفاده از قرص گوگرد در انبار، نگهداری کندوها به صورت قوی و متراکم.,بیشتر به قاب‌های انبار شده یا کندوهای خیلی ضعیف حمله می‌کند.
فلج ویروسی (Chronic Bee Paralysis),ویروسی,لرزش بدن زنبورها، زنبورهای سیاه و براق (بدون مو) که توسط زنبورهای دیگر طرد می‌شوند، ناتوانی در پرواز و خزیدن روی زمین.,درمان دارویی ندارد. تعویض ملکه برای تغییر ژنتیک، جلوگیری از تراکم بیش از حد کندو، تغذیه مناسب.,اغلب با مسمومیت اشتباه گرفته می‌شود.
مسمومیت از سم,مسمومیت,وجود تعداد زیادی زنبور مرده در جلو سوراخ پرواز کندو و خزیدن عده ای از زنبورها در نزدیکی کندو و نهایتا بیرون آمدن خرطوم زنبورهای مرده از علائم مشخصه مسمومیت است ، ایجاد بی نظمی در فعالیت های داخل کندو و کاهش بازده آن ، تشدید رفتار تهاجمی در زنبورها ، بالا آوردن محتویات معده بر اثر مسمومیت ناشی از سموم فسفره,در نزدیکی زنبورستان محل مخصوصی برای آب خوردن زنبورها در نظر بگیرند تا به خوردن آب از آن عادت کنند و برای رفع تشنگی قطرات سم را از روی درختان با گیاهان جمع ننمایند. در صورتی که سم پاشی در وسط روز غیر قابل اجتناب باشد، در روز سم پاشی و صبح خیلی زود و قبل از سپیده دم ، سوراخ پرواز کندوها را با تور سیمی به مدت ۲۶ ساعت مسدود نمایید تا از پرواز و تماس مستقیم زنبورها با سموم جلوگیری شود. در این شرایط باید مقداری آب داخل ظرف غذا خوری زنبورها ریخته و در کندو قرار داد تا زنبورها بر اثر شنگی تلف نشوند. چنانچه کندوها همه ساله مهاجرت داده می شوند، مهاجرت را در صورت لزوم قبل از سم پاشی انجام دهید و زنبورها را از محل سم پاشی دور نمایید تا مسموم نگردند.,در اصل درمان نداریم فقط پیشگیری داریم.
سپتی‌سمی (Septicemia),باکتریایی,همولنف (خون) زنبور سفید شیری رنگ می‌شود، عضلات سینه سریع تخریب می‌شوند، بوی تعفن شدید پس از مرگ، اعضای بدن زنبور مرده به راحتی از هم جدا می‌شوند (ریزش اعضا).,بهبود تهویه کندو، انتقال به محل خشک و آفتاب‌گیر، تغذیه با شربت حاوی آنتی‌بیوتیک (در صورت تجویز دامپزشک). رطوبت بالا عامل اصلی است.,عامل آن باکتری سودوموناس آپی‌سپتیکا است. باکتری وارد خون شده و به سرعت تکثیر می‌شود.
پاراتیفوئید (Paratyphoid),باکتریایی,اسهال شدید (مشابه نوزما)، مدفوع زرد و بدبو، زنبورها سست و بی‌حال هستند، تورم شکم.,استفاده از آنتی‌بیوتیک‌های موثر (مثل استرپتومایسین یا تتراسایکلین)، تغذیه سالم، رعایت بهداشت آبشخورها.,اغلب ناشی از باکتری‌های روده‌ای مثل هافنیا آلوئی است و با مدیریت ضعیف و آب آلوده مرتبط است.
کنه تروپی‌للاپس (Tropilaelaps Mites),انگل خارجی,کنه قرمز-قهوه‌ای که بسیار سریع‌تر از واروا حرکت می‌کند، لاروهای مرده یا ناقص در جلوی کندو، زنبورهای متولد شده با بال‌های ناقص و پاهای آسیب‌دیده.,ایجاد وقفه در تخم‌گذاری ملکه (این کنه بدون نوزاد بیش از چند روز زنده نمی‌ماند)، اسید فرمیک، آپیستان.,بسیار خطرناک‌تر از واروا در مناطق گرمسیری؛ چون نمی‌تواند روی زنبور بالغ تغذیه طولانی کند، وابسته به نوزادان است.
مگس زنبور (Braula Coeca),انگل خارجی,حشره‌ای کوچک، بدون بال و قرمز رنگ روی بدن ملکه یا کارگرها (شبیه شپش)، تونل‌های سفید و ظریف روی سرپوش‌های عسل (ظاهر شکستگی یا خط‌خوردگی).,دود دادن با تنباکو (باعث افتادن مگس می‌شود)، انجماد قاب‌های عسل آلوده.,برخلاف کنه، خون زنبور را نمی‌مکد بلکه غذا را از دهان زنبور می‌دزدد. آسیب اصلی به زیبایی شان عسل است.
بیماری سنگی (Stonebrood),قارچی,لاروها سخت و سفت می‌شوند (شبیه سنگ)، رنگ آن‌ها ابتدا سفید و سپس سبز یا زرد می‌شود، مومیایی‌های سخت در حجره‌ها.,سوزاندن قاب‌های آلوده (بهترین راه)، تهویه مناسب، حذف رطوبت. درمان دارویی موثری ندارد.,عامل آن قارچ آسپرژیلوس است که می‌تواند برای انسان نیز خطرناک باشد (مشکلات تنفسی). ایمنی زنبوردار مهم است.
ویروس تغییر شکل بال (Deformed Wing Virus - DWV),ویروسی,زنبورهای تازه متولد شده با بال‌های چروکیده، پیچ‌خورده یا ناقص، شکم کوتاه و گرد، مرگ زودرس.,درمان مستقیم ندارد؛ کنترل کنه واروا (ناقل اصلی) بهترین راه درمان است.,ارتباط مستقیم و همبستگی شدید با آلودگی کنه واروا دارد.
ویروس فلجی حاد (Acute Bee Paralysis Virus),ویروسی,لرزش شدید زنبورها، ناتوانی در پرواز، گاهی تیرگی رنگ بدن و ریزش مو، مرگ سریع (طی چند روز).,درمان دارویی ندارد. تعویض ملکه و تقویت کلنی، کنترل کنه واروا.,اغلب به صورت نهفته است و با استرس یا کنه واروا فعال می‌شود. مرگ و میر سریع‌تری نسبت به نوع مزمن دارد.
بیماری نوزاد کیسه‌ای (Sacbrood Virus),ویروسی,لارو مرده شبیه کیسه پر از مایع می‌شود (پوست چروکیده و محتویات آبکی)، سر لارو تیره و به سمت بالا خم می‌شود (شبیه قایق گاندولا)، عدم کشسانی (برخلاف لوک).,تعویض ملکه (قطع چرخه تخم‌گذاری)، تقویت کلنی، تعویض قاب‌های آلوده.,معمولاً در بهار و اوایل تابستان دیده می‌شود و اغلب خودبخود با جریان شهد بهبود می‌یابد.
ویروس سلول ملکه سیاه (Black Queen Cell Virus),ویروسی,دیواره سلول ملکه (شاتون) سیاه یا تیره می‌شود، لارو یا شفیره ملکه داخل سلول سیاه شده و می‌میرد.,درمان نوزما (چون این ویروس اغلب با نوزما همراه است)، رعایت بهداشت در پیوند ملکه.,بیشتر در مراکز پرورش ملکه مشکل‌ساز است و ارتباط نزدیکی با نوزما دارد.
سوسک کوچک کندو (Small Hive Beetle),آفت,لاروهای کرم‌مانند (خاردار) در قاب‌ها، تخمیر عسل (بوی پرتقال گندیده)، لایه لزج و چسبناک روی قاب‌ها، فرار زنبورها از روی قاب.,استفاده از تله‌های روغنی یا سرکه سیب، تله‌های کفی، خاک پای کندو باید سمپاشی شود (برای کشتن شفیره‌ها).,بسیار مخرب است؛ لاروهای آن مدفوع خود را در عسل می‌ریزند و باعث تخمیر آن می‌شوند.
اسهال (Dysentery),اختلال/عارضه,لکه‌های زرد یا قهوه‌ای مدفوع روی قاب‌ها، دریچه پرواز و جلوی کندو، بوی بد در کندو، شکم متورم زنبورها.,تغذیه با شربت غلیظ و سالم (شکر سفید)، کاهش رطوبت، فراهم کردن امکان پرواز دفع مدفوع (هوای گرم)، اگر ناشی از نوزما باشد درمان نوزما.,اسهال به خودی خود بیماری نیست، بلکه نشانه مشکلات گوارشی، غذای بد (عسلک)، رطوبت بالا یا بیماری‌هایی مثل نوزما است.
